name;constellation;bayer;ra;dec;mag;bv
;Cep;ν Cep;21:45:26.93;61:07:14.90;4.25;0.47
;Cap;λ Cap;21:46:32.10;-11:21:57.43;5.57;-0.00
;Cyg;π2 Cyg;21:46:47.61;49:18:34.45;4.23;-0.12
Deneb Algedi;Cap;δ Cap;21:47:02.44;-16:07:38.23;2.85;0.18
;PsA;θ PsA;21:47:44.15;-30:53:53.89;5.02;0.04
;Ind;ο Ind;21:50:47.21;-69:37:45.90;5.52;1.38
;Oct;λ Oct;21:50:54.29;-82:43:08.05;5.27;0.76
;Cap;μ Cap;21:53:17.76;-13:33:06.36;5.08;0.38
Aldhanab;Gru;γ Gru;21:53:55.71;-37:21:53.47;3.00;-0.08
;Ind;π Ind;21:56:14.05;-57:53:58.53;6.17;0.22
Itonda;Gru;;21:57:19.83;-37:45:49.04;7.47;0.57
;Ind;δ Ind;21:57:55.05;-54:59:33.27;4.40;0.30
;Ind;κ1 Ind;21:58:30.08;-59:00:43.70;6.13;0.47
;PsA;η PsA;22:00:50.22;-28:27:13.45;5.43;-0.09
;Aqr;ο Aqr;22:03:18.84;-2:09:19.31;4.74;-0.10
;Ind;ε Ind;22:03:19.75;-56:47:09.52;4.69;1.06
Kurhah;Cep;ξ Cep;22:03:47.29;64:37:40.70;4.26;0.38
;Peg;ν Peg;22:05:40.75;05:03:30.71;4.86;1.44
Sadalmelik;Aqr;α Aqr;22:05:47.04;00:19:11.46;2.95;0.97
;Ind;κ2 Ind;22:05:50.99;-59:38:09.86;5.62;1.47
;Gru;λ Gru;22:06:06.89;-39:32:36.07;4.47;1.35
;Aqr;ι Aqr;22:06:26.23;-13:52:10.84;4.29;-0.08
;Peg;ι Peg;22:07:00.65;25:20:42.40;3.77;0.44
Alnair;Gru;α Gru;22:08:13.95;-46:57:39.51;1.73;-0.07
;PsA;μ PsA;22:08:23.00;-32:59:18.48;4.50;0.05
;PsA;υ PsA;22:08:25.93;-34:02:37.83;4.99;1.50
;Peg;π1 Peg;22:09:13.64;33:10:20.41;5.58;0.99
;Peg;π2 Peg;22:09:59.25;33:10:41.61;4.28;0.47
;PsA;τ PsA;22:10:08.73;-32:32:54.27;4.94;0.49
Biham;Peg;θ Peg;22:10:11.99;06:11:52.31;3.52;0.09
;Cep;ζ Cep;22:10:51.27;58:12:04.54;3.39;1.56
;Cep;λ Cep;22:11:30.58;59:24:52.16;5.05;0.19
;PsA;λ PsA;22:14:18.75;-27:46:00.87;5.45;-0.12
;Cep;ε Cep;22:15:01.96;57:02:36.91;4.18;0.28
;Gru;μ1 Gru;22:15:36.91;-41:20:48.12;4.79;0.79
;Gru;μ2 Gru;22:16:26.56;-41:37:38.01;5.11;0.93
Ancha;Aqr;θ Aqr;22:16:50.03;-7:46:59.84;4.17;0.98
;Oct;ψ Oct;22:17:50.67;-77:30:41.59;5.49;0.31
;Tuc;α Tuc;22:18:30.14;-60:15:34.51;2.87;1.39
;Oct;ε Oct;22:20:01.51;-80:26:23.09;5.09;1.28
;Aqr;ρ Aqr;22:20:11.91;-7:49:15.97;5.35;-0.05
Sadachbia;Aqr;γ Aqr;22:21:39.38;-1:23:14.39;3.86;-0.06
;Gru;π1 Gru;22:22:44.20;-45:56:52.60;6.42;2.23
;Gru;π2 Gru;22:23:07.93;-45:55:42.56;5.62;0.37
;Lac;β Lac;22:23:33.63;52:13:44.57;4.42;1.01
;Ind;ν Ind;22:24:35.15;-72:15:19.48;5.28;0.66
;Aqr;π Aqr;22:25:16.62;01:22:38.64;4.80;-0.17
;Cep;ρ1 Cep;22:26:42.44;78:47:09.07;5.83;0.17
Lionrock;Aqr;;22:27:03.07;-17:15:49.17;7.60;0.88
;Tuc;δ Tuc;22:27:19.91;-64:57:58.87;4.51;-0.03
Kruger 60;Cep;;22:27:59.91;57:41:45.15;9.59;1.61
;Gru;ν Gru;22:28:39.21;-39:07:54.45;5.47;0.96
;Aqr;ζ1 Aqr;22:28:49.91;00:01:11.90;3.65;0.41
;Cep;δ Cep;22:29:10.26;58:24:54.71;4.07;0.78
;Gru;δ1 Gru;22:29:16.17;-43:29:44.03;3.97;1.02
;Gru;δ2 Gru;22:29:45.44;-43:44:57.21;4.12;1.57
;Cep;ρ2 Cep;22:29:52.97;78:49:27.43;5.45;0.09
;Aqr;σ Aqr;22:30:38.82;-10:40:40.62;4.82;-0.05
;PsA;ζ PsA;22:30:53.77;-26:04:25.51;6.43;1.08
;Lac;α Lac;22:31:17.45;50:16:56.97;3.76;0.03
;PsA;β PsA;22:31:30.32;-32:20:45.86;4.29;0.01
;Oct;υ Oct;22:31:37.80;-85:58:02.11;5.76;1.02
;Tuc;ν Tuc;22:33:00.04;-61:58:55.64;4.91;1.61
;Aqr;υ Aqr;22:34:41.63;-20:42:29.58;5.21;0.45
;Aqr;η Aqr;22:35:21.38;00:07:02.99;4.04;-0.08
;Gru;σ1 Gru;22:36:29.30;-40:34:57.68;6.28;0.12
;Gru;σ2 Gru;22:36:58.85;-40:35:27.72;5.85;0.06
Situla;Aqr;κ Aqr;22:37:45.38;-4:13:41.00;5.04;1.14
EZ Aqr;Aqr;;22:38:33.22;-15:18:09.15;12.66;1.98
;PsA;ε PsA;22:40:39.34;-27:02:37.02;4.18;-0.10
Homam;Peg;ζ Peg;22:41:27.72;10:49:52.91;3.41;-0.09
;Peg;ο Peg;22:41:45.41;29:18:27.51;4.80;-0.01
Tiaki;Gru;β Gru;22:42:40.01;-46:53:04.48;2.07;1.61
Matar;Peg;η Peg;22:43:00.13;30:13:16.48;2.93;0.85
;Gru;ρ Gru;22:43:29.97;-41:24:51.65;4.84;1.03
Babcock's star;Lac;;22:44:07.50;55:35:21.21;8.83;0.03
;Gru;η Gru;22:45:37.87;-53:30:00.44;4.84;1.18
;Oct;β Oct;22:46:03.69;-81:22:53.81;4.13;0.21
;Peg;λ Peg;22:46:31.88;23:33:56.35;3.97;1.07
;Peg;ξ Peg;22:46:41.58;12:10:22.40;4.20;0.50
;Aqr;τ1 Aqr;22:47:42.77;-14:03:23.14;5.68;-0.02
;Gru;ε Gru;22:48:33.26;-51:19:00.71;3.49;0.08
;Aqr;τ2 Aqr;22:49:35.50;-13:35:33.48;4.05;1.57
;Cep;ι Cep;22:49:40.87;66:12:01.47;3.50;1.05
Sadalbari;Peg;μ Peg;22:50:00.19;24:36:05.68;3.51;0.93
;Oct;ξ Oct;22:50:22.76;-80:07:25.84;5.32;-0.13
;Peg;σ Peg;22:52:24.07;09:50:08.39;5.16;0.49
;PsA;γ PsA;22:52:31.54;-32:52:31.81;4.46;-0.04
;Aqr;λ Aqr;22:52:36.88;-7:34:46.56;3.73;1.63
;Gru;τ1 Gru;22:53:37.87;-48:35:53.83;6.03;0.62
Skat;Aqr;δ Aqr;22:54:39.01;-15:49:14.95;3.27;0.07
;Ind;ρ Ind;22:54:39.53;-70:04:25.35;6.04;0.66
;Peg;ρ Peg;22:55:13.67;08:48:58.20;4.91;-0.00
;PsA;δ PsA;22:55:56.90;-32:32:22.66;4.20;0.95
;Gru;τ3 Gru;22:56:47.81;-47:58:09.20;5.72;0.23
Helvetios;Peg;;22:57:27.97;20:46:07.80;5.45;0.67
Fomalhaut;PsA;α PsA;22:57:39.02;-29:37:20.05;1.17;0.14
;Gru;ζ Gru;23:00:52.84;-52:45:14.89;4.11;0.96
;And;ο And;23:01:55.26;42:19:33.52;3.62;-0.10
;PsA;π PsA;23:03:29.81;-34:44:57.88;5.12;0.31
Scheat;Peg;β Peg;23:03:46.44;28:04:58.04;2.44;1.65
Fumalsamakah;Psc;β Psc;23:03:52.61;03:49:12.16;4.48;-0.12
;Gru;κ Gru;23:04:39.60;-53:57:53.66;5.37;1.45
Markab;Peg;α Peg;23:04:45.65;15:12:18.95;2.49;-0.00
Lacaille 9352;PsA;;23:05:51.11;-35:51:11.06;7.35;1.48
;Gru;θ Gru;23:06:52.74;-43:31:13.29;4.28;0.42
;Gru;υ Gru;23:06:53.62;-38:53:32.25;5.62;0.01
;Cep;π Cep;23:07:53.84;75:23:14.99;4.41;0.80
Ebla;Psc;;23:09:10.73;-2:15:38.67;8.59;1.01
;Gru;ι Gru;23:10:21.50;-45:14:48.16;3.88;1.00
;Aqr;φ Aqr;23:14:19.36;-6:02:56.41;4.22;1.54
;Aqr;ψ1 Aqr;23:15:53.49;-9:05:15.85;4.24;1.11
;Aqr;χ Aqr;23:16:50.94;-7:43:35.41;4.93;1.61
;Psc;γ Psc;23:17:09.94;03:16:56.24;3.70;0.92
;Tuc;γ Tuc;23:17:25.79;-58:14:08.64;3.99;0.41
;Aqr;ψ2 Aqr;23:17:54.21;-9:10:57.05;4.41;-0.14
;Gru;φ Gru;23:18:09.86;-40:49:27.70;5.54;0.44
;Cep;ο Cep;23:18:37.44;68:06:41.20;4.75;0.84
;Scl;γ Scl;23:18:49.44;-32:31:55.30;4.41;1.11
;Aqr;ψ3 Aqr;23:18:57.68;-9:36:38.70;4.99;-0.02
Salm;Peg;τ Peg;23:20:38.24;23:44:25.21;4.58;0.18
Alkarab;Peg;υ Peg;23:25:22.77;23:24:14.76;4.42;0.62
;Gru;ο Gru;23:26:36.56;-52:43:17.77;5.53;0.41
;Psc;κ Psc;23:26:55.95;01:15:20.19;4.95;0.04
;Psc;θ Psc;23:27:58.10;06:22:44.37;4.27;1.06
;Oct;τ Oct;23:28:03.58;-87:28:55.97;5.50;1.28
Veritate;And;;23:31:17.36;39:14:10.31;5.22;1.03
Poerava;Tuc;;23:31:20.24;-58:12:35.04;7.82;0.51
;Scl;β Scl;23:32:58.24;-37:49:05.76;4.38;-0.09
;Phe;ι Phe;23:35:04.56;-42:36:54.27;4.69;0.08
;And;λ And;23:37:33.80;46:27:29.35;3.81;0.98
;And;ι And;23:38:08.20;43:16:05.06;4.29;-0.08
Errai;Cep;γ Cep;23:39:20.95;77:37:56.19;3.21;1.03
;Phe;θ Phe;23:39:27.94;-46:38:16.08;6.07;0.24
;Aqr;ω1 Aqr;23:39:47.07;-14:13:19.84;4.97;0.26
;Psc;ι Psc;23:39:57.04;05:37:34.65;4.13;0.51
;And;κ And;23:40:24.49;44:20:02.16;4.15;-0.07
;Scl;μ Scl;23:40:38.16;-32:04:23.25;5.30;0.96
Ross 248;And;;23:41:54.16;44:10:29.73;12.29;1.90
;Psc;λ Psc;23:42:02.80;01:46:48.15;4.49;0.20
;Aqr;ω2 Aqr;23:42:43.34;-14:32:41.66;4.49;-0.03
;And;ψ And;23:46:02.04;46:25:12.99;4.97;1.09
;Cas;τ Cas;23:47:03.42;58:39:07.16;4.88;1.12
;Phe;σ Phe;23:47:15.99;-50:13:35.26;5.18;-0.16
;Scl;δ Scl;23:48:55.54;-28:07:48.96;4.59;0.00
;Oct;γ1 Oct;23:52:06.66;-82:01:07.74;5.10;0.93
;Peg;φ Peg;23:52:29.29;19:07:13.03;5.06;1.59
;Cas;ρ Cas;23:54:23.03;57:29:57.78;4.51;1.19
;Oct;γ2 Oct;23:57:32.97;-82:10:11.29;5.72;1.05
;Tuc;η Tuc;23:57:35.02;-64:17:53.63;5.00;0.06
;Peg;ψ Peg;23:57:45.53;25:08:29.04;4.63;1.58
;Phe;π Phe;23:58:55.76;-52:44:44.91;5.13;1.12
;Cas;σ Cas;23:59:00.54;55:45:17.74;4.88;-0.07
;Psc;ω Psc;23:59:18.69;06:51:47.96;4.03;0.42
Axólotl;Cet;;23:59:53.83;-22:25:41.21;8.23;0.64
;Tuc;ε Tuc;23:59:54.94;-65:34:37.68;4.49;-0.08
